title,abstract,field_1_na,field_1_co,field_2_na,field_2_co,field_3_na,field_3_co
THE STRATEGIC ROLE OF VISUAL AND PERFORMING ARTS AS INSTRUMENTS OF INDIA’S SOFT POWER IN INTERNATIONAL POLITICS,"The idea of soft power has become increasingly popular in the field of international relations, where cultural diplomacy is essential to influencing how the global community looks a country. India, with its vast and diverse cultural heritage, has strategically employed its visual and performing arts as critical instruments of soft power. From Bollywood films and classical dance forms like Bharatanatyam and Kathak to its traditional music and fine arts, India has utilized these art forms to project influence on the global stage. This research paper explores how these various artistic expressions not only serve as tools of India’s soft power but also foster diplomatic relationships, enhance bilateral ties, and build a positive international image. Additionally, the paper analyzes the historical roots of these cultural forms, their evolution over time, and their continued relevance in contemporary global diplomacy. By assessing case studies of India’s use of art and culture in fostering international partnerships and elevating its status in global governance, the study sheds light on how the arts contribute to India's foreign policy goals and solidify its presence in the complex realm of international politics.",Political Science and International Relations,70.00%,Visual Arts and Performing Arts,20.00%,Cultural Studies,10.00%
Indelible: Violence Against Women and Their Resistance to It in the Visual and Performing Arts in Italy and Beyond,"The visual and performing arts can be instrumental in exposing the complexity of the numerous forms violence against women and girls takes, and in exploring old and new forms of resistance. The articles in this special issue emerged from a three-year project of the Visual and Performance Studies Research Group funded by the Australasian Centre for Italian Studies (ACIS) to examine the representation of violence against women and their resistance to such violence in Italy and beyond and contribute to analysis and understanding of how gendered violence and resistance to it are represented in the arts. A key strand concerned the arts in contemporary Italy, but its scope was broad and encouraged comparison with other societies in order to share significant aspects of the Italian situation with a wider audience, highlight the global scale of the problem, and help identify opportunities for collective resistance. This scope is reflected in the four pieces here, which examine the possibilities that different forms of representation can offer either to reinforce or contest violence against women.",Visual Arts and Performing Arts,70.00%,Gender Studies,20.00%,Literature and Literary Theory,10.00%
CLIMATE CHANGE ACTION THROUGH VISUAL AND PERFORMING ARTS: A PERSPECTIVE FOR SOCIAL TRANSFORMATION,"Climate change is an existential reality for mankind and requires immediate attention and community action. Globally, various approaches are being adopted to influence policy and community awareness and behaviour. Art serves as a bridge, connecting scientific facts with human experiential understanding of nature, making the intricacies understood in simple yet impactful ways, and reducing the existing gaps. The intersection of climate change action and use of the visual and performing arts represents an attractive area that synergizes artistic expression with environmental activism. This paper reviews and explores the various forms of these arts serving as powerful channels to involve, connect, and inspire zeal among communities on climate change action. These art forms have been part of every human culture since time immemorial and generate diverse perspectives and emotional responses with great potential for desired social change. Further, visual and performing arts have played a critical role in breaking down social and cultural barriers among masses to desired behavioural change by addressing pertinent socio-cultural politics. By sustainably using these art forms and chronicles, the social change agents by involving proficient artists can contribute to long-term community enrichment and societal transformation towards climate action. The rich potential of visual and performing arts to not only satiate human minds abstracts but also raise awareness and mobilize communities, influence policy, and ultimately drive meaningful climate activism and social transformation for a climate-smart and sustainable world.",Visual Arts and Performing Arts,60.00%,Social Sciences (miscellaneous),25.00%,Environmental Science (miscellaneous),15.00%
A META-ANALYTIC REVIEW OF PSYCHOLOGICAL PERSPECTIVES IN VISUAL AND PERFORMING ARTS IN MOVIES,"This meta-analysis examines the psychological dimensions of visual and performing arts in movies released between 2010 and 2020. By synthesizing research on the cognitive, emotional, and social aspects of filmmaking and audience reception, this study explores the psychological principles that shape cinematic storytelling, performance, and viewer engagement. The findings provide insights into how movies serve as both a medium of artistic expression and a reflection of societal psychological dynamics, offering implications for filmmakers, psychologists, and cultural analysts.",Psychology (miscellaneous),60.00%,Visual Arts and Performing Arts,25.00%,Social Psychology,15.00%
A Study on the Acceptability of the 4th Industrial Revolution Technology in the Arts and Culture Field - Focusing on Field Experts in the Performing Arts and Visual Arts,"This study starts with the premise that the emergence of all new technologies, including the 4IR technology, inevitably brings changes to the culture and arts field experts and organizations. 
The conclusions of the study are as follows. Firstly, the experience and technical capabilities of general technologies increase the level of preparation for the 4IR technology or the direct experience value of technology. Secondly, artistic and cultural companies or organizations with high strategic orientation have been showing higher readiness for the 4IR technology. 
Thirdly, the more positive the contribution to the 4IR technology, the higher the perceived usefulness and perceived ease of use of the 4IR technology. Finally, the higher the experience of direct use of the 4IR technology, the higher the acceptability of the 4IR technology, but the perception of the 4IR technology contribution shows negative. 
It is to be hoped that this paper will be used as initial data to present direction in the meeting and convergence between the 4IR technology and arts and culture also to capture the voices of field experts of contemporary arts and culture.",Arts and Humanities (miscellaneous),45.00%,Visual Arts and Performing Arts,35.00%,Human-Computer Interaction,20.00%
The Visual and Performing Arts in Libraries,"This chapter examines the impact and influence of the visual and performing arts in sustaining thriving communities and highlights the essential role of libraries in providing access to arts and cultural programming and services. Creative and artistic intervention has become the imperative of our time. Creativity is required not only in design studios and workshops, but in all areas of work and life, both professional and personal. Places of artistic and cultural production are strongly correlated with strong local economies and sustainable communities. Libraries are public spaces that promote and maintain community, not only civic institutions. As such, the library plays a key role as incubator for the arts. Libraries advocate freedom: of ideas, communication, and information. Arts programming in libraries provides an avenue for people to communicate ideas and feelings through visual, auditory, or kinesthetic forms. But more than that, libraries are also about education, safe and welcoming spaces, community, and entertainment. Libraries support and promote the value of multiple perspectives and voices. Libraries can shape patronage of the arts and engage future generations by addressing social diversity and inciting inclusive participation in the arts. Many libraries are participating in the creation of new forms of understanding through arts programming, services, and resources. In an age where many of society’s most important challenges are related to our relationship with information, it is vitally important to include visual and performing arts professionals in the intersection between artistic practice and critical engagement with information.",Library and Information Sciences,70.00%,Visual Arts and Performing Arts,20.00%,Museology,10.00%
ROLE OF LIBRARIES IN PRESERVATION AND CONSERVATION OF VISUAL AND PERFORMING ARTS MATERIALS,"Visual and performing arts materials, including manuscripts, musical scores, photographs, stage designs, costumes and audio visual recordings are crucial for preserving India’s cultural heritage but are highly vulnerable to physical decay technological obsolescence and loss of context. Effective library collection management in this field ensures the documentation, conservation and accessibility of these resources supporting research, education and creative practices. Institutions such as IGNCA, Sangeet Natak Akademi, NFAI Pune and NCPA Library, Mumbai implement preventive and remedial conservation, digitization, microfilming, and proper archival storage to safeguard rare and fragile materials. These initiatives not only preserve ephemeral art forms and tangible cultural artifacts but also promote wider access and inter-institutional collaboration.",Library and Information Sciences,70.00%,Conservation,20.00%,Visual Arts and Performing Arts,10.00%
"Visual and Performing
 Arts","VPAS 5V01 Supervised Internship in Visual and Performing Arts (1-9 semester credit hours) Exploration of professional settings in the visual and performing arts. Students undertake a new learning experience at a supervised work situation related to their academic interests. An internship provides exposure to a professional working environment, application of theory to working realities, and an opportunity to test skills and clarify goals. Course requirements include formal and reflective writing. Pass/Fail only. May be repeated for credit (9 semester credit hours maximum). Department consent required. ([1-9]-0) R",Visual Arts and Performing Arts,80.00%,Education,15.00%,Social Sciences (miscellaneous),5.00%
Impact of Acoustic Properties and Visual Information on the Perceived Realism of Traditional Performing Arts in Public Cultural Halls,"Public cultural halls serve as venues for diverse artistic performances, including traditional performing arts such as Iwami Kagura. However, these multipurpose spaces are not specifically designed for such performances, potentially leading to discrepancies in audience perception due
 to differences in acoustic and visual conditions compared to traditional venues like shrine worship halls or Kagura halls. This study investigates the effects of acoustic properties and visual information on the perceived realism of Iwami Kagura when performed in public cultural halls. Subjective
 evaluation experiments were conducted using VR goggles and headphones to recreate Kagura performances in different venues, allowing audiences to assess realism under varied presentation conditions. Additionally, reverberation time measurements and questionnaire surveys were used to analyze
 audience impressions of different venues. The results indicate that lighting, viewing distance, and reverberation time significantly influence the audience's sense of realism. Statistical analyses further clarify the relationship between psychological responses, visual information, and acoustic
 performance. These findings contribute to understanding how environmental factors affect the perception of traditional performing arts in non-traditional settings, providing insights for optimizing cultural hall designs to enhance audience experiences while preserving the authenticity of traditional
 performances.",Acoustics and Ultrasonics,40.00%,Visual Arts and Performing Arts,35.00%,Human-Computer Interaction,25.00%
Who Goes to Shows? Race-ethnicity and the Visual and Performing Arts,"Using data from the 2012 Survey of Public Participation in the Arts, I investigate whether education’s influence on the likelihood of visual and performing arts attendance in the USA varies by race-ethnicity. The results reveal that education increases the odds of attendance for both Whites and non-Whites, but it has a stronger impact upon the former than the latter. Unlike Whites, education’s effect on attending visual and performing arts activities for non-Whites is insignificant for high school diploma recipients when compared to their counterparts with some college education. These findings suggest a racial-ethnic bias in visual and performing arts attendance net of education that connects to the European roots of “legitimate” art in modern western society and the history of US racial discrimination. European Americans have dominated the USA’s social institutions for centuries and have held prejudices against minorities’ artistic capabilities since the colonial era. Consequentially, they could determine which arts genres provide valuable cultural capital. Conversely, minority art communities have only recently acquired the resources for self-sustainability. This likely limited their ability to develop formal institutions within their own communities to support the arts.",Sociology and Political Science,60.00%,Cultural Studies,25.00%,Visual Arts and Performing Arts,15.00%
Did consequential accountability policies decrease the share of visual and performing arts education in U.S. public secondary schools during the No Child Left Behind era?,"Abstract It has been asserted that the test-based accountability of No Child Left Behind (NCLB) increased instruction in tested subject areas reading and math, leading to reductions in arts education. We tested this using two waves of data, before and after NCLB implementation, in a difference-in-differences design. The analyses indicated that the total teacher workforce increased substantially during this time period, while the percentage of reading and math educators remained constant, leading to an overall increase in the teacher corps for these subjects. In contrast, the percentage of music and visual arts educators decreased during this period, leading to a decrease in their numbers. Average subject-specific teaching loads increased across all of these subjects. The result was substantial increases in the number of reading and math courses taught, combined with overall stability in the number of arts courses. However, comparisons across states with varying implementation of test-based school accountability prior to NCLB failed to show a relationship between such accountability and changes in the percentages and teaching loads of reading, math, and arts educators. Thus, at least in terms of cross-state comparisons, changes in these outcomes cannot be attributed to state-specific changes in accountability brought on by the introduction of NCLB.",Education,70.00%,Public Administration,20.00%,Sociology and Political Science,10.00%
"USAGE OF ELECTRONIC RESOURCES,SERVICESAND CHALLENGES FACEDBY THELIBRARY USERS IN UNIVERSITY OF THE VISUAL AND PERFORMING ARTS(UVPA), SRI LANKA","The electronic resources have become one of the major sources of information for teaching, learning and research activities, as present era is mainly depending on internet based online resources. Though the conditions are prevailing as such, majority of the library users do not have sufficient knowledge and skills to use the electronic resources and services. Hence, before commencing awareness programs and orientations it is essential to measure the usage, issues and challenges of using e-resources and services by the library users. This study was designed to speculate the usage and problems of using e-resources and services provided by the UVPA library. Population of this study was UVPA library users and random sampling method was used for selecting the participants. Among the population total number of 450 library users were considered as the sample. Sample has been represented 300 number of students in three faculties and 150 number of academic and nonacademic staff members. Structured online questionnaires were used as main data collection instrument and interviews and observations were used to collect the primary data. The response rate was 100",Library and Information Sciences,70.00%,Education,20.00%,Social Sciences (miscellaneous),10.00%
Motivations and Intentionality in the Arts Portfolio Career: An Investigation into How Visual and Performing Artists Construct Portfolio Careers,"ABSTRACT:Many artists find themselves in the role of an entrepreneur and small business owner as they manage multiple overlapping jobs while engaging in a portfolio career. This research investigates how visual and performing artists construct meaningful portfolio careers and if the portfolio career model minimizes risk. The findings reveal that the majority of respondents view a portfolio career as less secure than a full-time job, but also prefer the portfolio career. A significant amount of their time is spent on creative activity and teaching. Artistic fulfillment, pay, and time commitment are the primary factors artists consider when selecting work.",Arts and Humanities (miscellaneous),45.00%,Visual Arts and Performing Arts,35.00%,"Business, Management and Accounting ",20.00%
EMERGENCE OF TALENT ANALYTICS IN HUMAN RESOURCE MANAGEMENT WITH REFERENCE TO MUSIC AND PERFORMING ARTS INDUSTRY IN INDIA,"The integration of talent analytics into human resource management practices within the music and performing arts industry in India has been a topic of increasing significance. Present research aimed to examine the emergence of talent analytics, its impact on HR management, and the challenges faced by HR managers during its implementation. Employing quantitative methodology, data was collected through a structured survey distributed among 311 HR professionals from various organizations in this sector. The findings highlighted the positive impact of talent analytics on HR practices, showcasing enhancements in decision-making, recruitment efficiency, workforce planning, and talent identification. However, substantial challenges such as financial investments, skill shortages, technical integration hurdles, cultural resistance, and data reliability issues emerged as impediments to seamless implementation. These results underscore the potential benefits of talent analytics while emphasizing the critical barriers that HR managers encounter in leveraging its full potential within this industry.",Organizational Behavior and Human Resource Management,70.00%,Business and International Management,20.00%,Visual Arts and Performing Arts,10.00%
From Silos to Synergy: Redefining Collaboration in the Performing Arts and Museum Sectors,"The arts sector—museums, theaters, and orchestras—in the United States and Europe faces increasing financial and operational challenges, from declining attendance to reduced public and private funding. While these organizations have historically pursued their goals independently, their future may depend on fostering collaboration across these traditionally siloed institutions. By pooling resources, expertise, and, most importantly, audiences, cross-disciplinary partnerships can amplify the impact of cultural institutions while addressing shared challenges. For instance, museums and performing arts organizations could collaborate on immersive experiences that integrate visual and performing arts, attracting a broader and more diverse audience base. Similarly, joint programming and shared digital platforms could reduce overhead costs and expand outreach. These partnerships also enable the arts to present a unified case for public and philanthropic support, leading to greater collective societal impact. Drawing on successful examples of cross-sector collaboration, this paper explores practical strategies for fostering synergies among arts institutions. By working together, the arts can not only enhance their resilience in a challenging environment but also redefine how cultural experiences are created and consumed, ensuring their relevance and vibrancy for future generations.",Arts and Humanities (miscellaneous),45.00%,Visual Arts and Performing Arts,35.00%,Museology,20.00%
ELECTION MEMES AS PERFORMING ARTS AESTHETIC STRATEGIES OF POLITICAL MISINFORMATION IN RAJASTHAN,"This paper research explores the concept of election memes as a new kind of performing arts that tactically constructs political meaning, emotionality, and information flow misconstructions in Rajasthan. Although memes are commonly defined as humorous digital artefacts, this paper has proposed them as micro-performances, aesthetic events, which are designed to integrate folklore signals, dramaturgical and multimodal symbolism into persuasive political stories. In this sense, election memes are participatory and not merely aesthetical commentary, mobilisation of identities and dissemination of ideological affect. The study relies on digital folklore, semiotics, and performance theory in order to trace the way in which exaggeration, parody, satire, and symbolic motifs code political misinformation. A collection of memes of the Rajasthan election was collected using prominent social media, and then a three-level analysis was performed: (i) visual/semiotic dissection, (ii) textual sentiment and framing analysis of narratives, and (iii) computational clustering of aesthetic and thematic elements. The results demonstrate that meme misinformation works with culturally-instilled aesthetics mechanisms, which include regional humour, folk, and emotionally-charged caricatures, which ensure virality and credibility. Analysis of audience reception also indicates that youth, rural electorate, and partisan audiences are consuming these memes as performances of belonging that tend to support existing prejudices and add to a digital theatre of persuasion.",Communication,45.00%,Political Science and International Relations,35.00%,Visual Arts and Performing Arts,20.00%
INTELLIGENT MOVEMENT TRACKING IN PERFORMING ARTS,"Intelligent movement tracking performing arts has become a paradigm shift in research, where computer intelligence is applied to creative performance. Conventional methods of motion analysis, most of which rely on manual observation, marker tracking systems, or single sensory modes, are incapable of tracking the subtleties, fluidity, and stylistic diversity of dances, theatre and performance. The recent innovations in artificial intelligence, multimodal sensing, and real-time analytics provide new opportunities to measure expressive movement with an unprecedented accuracy. This paper suggests an all-encompassing design that is based on optical cameras, inertial measurement units, depth sensors, and wearable devices and combines them with cutting-edge machine learning algorithms, including CNN-based pose estimators, graph convolution networks, and transformers. The system architecture has the focus of multimodal fusion, through which it is possible to consider the concurrent perception of visual, inertial, acoustic, and biomechanical signals to gain deeper insights into human movement. The processes of live performance environments, strong annotation of expressive and stylistic features, and deep learning architecture design based on the dynamics of performing arts are developed as a methodological pipeline. They have been applied to choreography analysis, automated assessment of movement-quality, intelligent systems of teaching dance and acting, and performance optimization using biomechanical feedback.",Computer Vision and Pattern Recognition,40.00%,Artificial Intelligence,35.00%,Visual Arts and Performing Arts,25.00%
INTELLIGENT PEDAGOGIES: AI IN VISUAL ARTS EDUCATION,"Intelligent Pedagogies: AI in Visual Arts Education addresses the disruptive possibilities of artificial intelligence in the design of creative learning systems of the next generation. With the closer interactions between visual arts education and digital technologies, AI-based systems (convolutional neural networks (CNNs) to generative adversarial networks (GANs), transformer-based evaluators, and more) allow more adaptive, responsive, and creativity-amplifying instructional models. This paper explores the learning merit of incorporating smart technology in curriculum development, studio learning, critique, and portfolio building. It also brings out the role of AI in promoting visual literacy, conceptual thinking and reinforcing creative trajectories and paths, with the help of multimodal analysis, automated feedback cycles and content creation in real time. This paper will provide a thorough literature review by comparing conventional art education with AI-enhanced systems, where the focus will be on the introduction of intelligent tutoring systems and adaptive learning environments. The approach consists of selected datasets in the context of art education, the experimental implementation of multimodal AI models, and the development of the teacher-AI-student triadic interaction model. The results of the experiment indicate significant changes in the level of engagement, creativity indicators, iterative refinement behaviors, and the learning process, proving the fact that AI assistance improves not only the technical performance but artistic decision making.",Education,45.00%,Computer Science,35.00%,Visual Arts and Performing Arts,20.00%
DEEPFAKE DETECTION AND MANAGEMENT IN VISUAL ARTS,"The DeepFake tech has had a theatrical impact on the visual arts, not only the provision of creative technology, but also the question of authenticity, copyright and misinformation. The deep learning and generative adversarial networks (GANs) produce deepfakes artificial images, which are extremely harmful to art. The article discusses the DeepFake detection and management within visual art work with emphasis on the practical application of analysis through multiple-layered approaches that would assist in ensuring the presence of the digital authenticity. DeepFake was managed through three core approaches, namely AI-Based Detection Frameworks, Blockchain-Based Authentication System, and Human-AI Collaborative Review Models. The decentralized strategy was based on blockchain technology, which was the Non-Fungible Token (NFT) registration by the cryptographic hashing to authenticate the provenance and ownership of the artworks. The human-AI composite system has integrated the inspection of the specialists on the visual level with the automatic monitoring of the anomalies to increase the readability and reduce the number of false alarms. The experiment revealed that the AI-based systems, blockchain approaches, and the collusion between human beings and AI detected 92.3, 87.6 and 94.1 % of people respectively. These findings suggest that the incorporation of algorithmic intelligence, a safe check, and human knowledge can help in quite a powerful DeepFake verification and management in the field of visual arts.",Computer Vision and Pattern Recognition,45.00%,Visual Arts and Performing Arts,35.00%,Information Systems,20.00%
"BLOCKCHAIN AND THE VISUAL ARTS ECOSYSTEM: DISRUPTIVE IMPACTS ON DIGITAL ART OWNERSHIP, NFTS, AND CREATIVE ECONOMIES","One of the ways in which blockchain technology is transforming the visual arts ecosystem is by providing decentralized, transparent, and verifiable systems of ownership, distribution, and value exchange of digital art. This paper analyzes how blockchain has been disruptive to visual arts in modern times, specifically in non-fungible tokens (NFTs), creative economies, and artist-collector relationships. Historically, the digital artworks were associated with the issues with provenance, copyright protection, scarcity, and justifiable monetization. Blockchain overcomes these weaknesses by providing immutable registries, smart contracts, and tokenization to allow artists to have verifiable ownership, determine authenticity, and earn automatic royalties on transactions in the secondary market. The study takes a conceptual and analytical structure by synthesising the extant literature, platform case studies and new blockchain-based art markets to assess the worth of NFTs in redefining artistic value, authorship and market forces. The results suggest that blockchain makes global art markets more democratic by decreasing the use of intermediaries including galleries and auction houses, which are central, and thus giving power to independent and new artists. Simultaneously, it cultivates new creative economies in which digital scramble, community contribution and speculative finance overlap. Nevertheless, the paper also singles out some fundamental challenges such as environmental sustainability issues, market unpredictability, regulatory ambiguity and the issues of artistic legitimacy and cultural value. The article presents the argument that although blockchain does not substitute the traditional art institutions, it supports them by providing hybrid ecosystems through integrations of physical and digital practices. All in all, the study suggests blockchain as a revolutionary infrastructure to the visual arts, reinventing ownership, trust, and economic frameworks and proposing a sustainable, ethical, and inclusive future to enable the long-term development of digital art ecosystems.",Visual Arts and Performing Arts,45.00%,Computer Science,35.00%,"Economics, Econometrics and Finance",20.00%
"EXPERIENTIAL AESTHETICS IN VISUAL ARTS CONSUMPTION: FANTASY, EMOTION, AND ENJOYMENT IN CONTEMPORARY ART EXPERIENCES","Experiential aesthetics has become a key point of focus in attempting to comprehend how modern viewers approach visual arts outside of the frame of formal analysis in a way that focuses on experience, emotion, and engagement of the imagination. The paper examines the inter-relationship between fantasy, emotion, and enjoyment in determining visual art consumption as a part of contemporary art experiences. The study uses phenomenological aesthetics and cognitive-affective theories, in which the conceptualization of aesthetic engagement is an embodied process with an interpretive and emotionally situated process. Fantasy is explored as one of the most important experiential forces that allow the viewers to immerse in the story, create symbolic meaning and imaginary worlds of art, creating their own meanings and speculative worlds as they engage with works of art. The paper also examines the emotional aspects of visual art viewing, such as emotion eliciting mechanisms, empathic resonance, mood, and affective bonding, and the moderating role of cultural, social and contextual factors. Pleasure is conceptualized in the context of hedonic enjoyment and eudaimonic satisfaction and it emphasizes flow, absorption, and reflective pleasure as the keys to long-term aesthetic values and recurring interest and involvement. The paper is methodologically designed in terms of a mixed-methods approach that incorporates both qualitative interviews, observational and narrative analyses with quantitative survey instruments and psychometric modeling to produce both subjective depth and the quantifiable patterns.",Visual Arts and Performing Arts,70.00%,Psychology (miscellaneous),20.00%,Arts and Humanities (miscellaneous),10.00%
ARTIFICIAL INTELLIGENCE IN CREATIVE WORKFORCE ANALYTICS: MANAGING TALENT AND PERFORMANCE IN VISUAL ARTS ORGANIZATIONS,"The visual arts organizations are moving toward a more complicated, project-driven ecosystem in which it is challenging to quantify creativity, collaboration, and performance through more traditional management strategies. The paper explores how artificial intelligence may be used as a tool to analyze the creative workforce, in this case, how talent management and performance optimization in visual arts institutions could be boosted through the use of data-driven approaches. The suggested model combines diverse information sources such as digital portfolios, project history, peer ratings, and audience engagement indicators to form multidimensional creative professional profiles. Clustering, predictive modeling, and sentiment analysis are some of the machine learning methods used to facilitate the segmentation of talent, alignment of roles, and prediction of the creative performance outcomes. AI-aided recruitment processes can improve portfolio analysis because it helps to detect hidden competencies, stylistic coherence and innovation potential that cannot be evaluated through subjective human judgment. Parallel to it, performance analytics models integrate quantitative metrics with qualitative feedback in order to determine creative productivity, collaborative and emotional reactions to critique. The evidence provided by the experiment, which is based on simulated institutional datasets, shows that the efficiency of talent utilization, the quality of project outcomes and transparency of the decision made significantly improve in comparison with the conventional workforce management techniques. The results emphasize the ability of AI to strike a balance between creative subjectivity and analytical rigor that allows to make an evidence-based decision and retain the autonomy of the creativity.",Management Information Systems,40.00%,Organizational Behavior and Human Resource Management,35.00%,Visual Arts and Performing Arts,25.00%
EMOTION-AWARE TUTORING SYSTEMS FOR PERFORMING ARTS,"Digital performing arts education Emotion-aware tutoring systems are a new development in the field of digital performing arts, which combines the concept of affective computing with multimodal learning analytics to improve the growth of expressive skills. Conventional online training systems have been emphasizing more on technical accuracy pitch accuracy, movement accuracy or dialogue accuracy but have failed to consider the emotional shades required in artistic excellence. The current research introduces and analyzes an AI-based framework that helps to capture emotional stimuli based on face expression analysis, voice prosody analysis, gesture monitoring, and movement patterns. The system is capable of detecting emotional deviations, feedback provision, and helping the learner understand themselves by three examples in dance, theatre, and vocal music. The quantitative data reveals that there are large improvements in the emotional accuracy (32-40%), expressive clarity, and performance coherence in all domains. Adaptive feedback mechanism in the system leads to increased engagement and elevation of emotional literacy where learners can tune the emotions and the expressive behavior. The results reveal the significance of incorporating emotion-sensitive technologies into the arts pedagogy and emphasize the importance of the hybrid human-AI co-learning models in the process of balancing between technical instructions and creative autonomy. The ethical concerns, such as emotional privacy, cultural difference, and algorithmic prejudice are addressed to make sure that there is responsible execution. In general, the paper shows that emotion-sensitive tutoring systems can provide a revolutionary method of performing arts education, enhancing more expressive growth, and overcome the traditional disadvantages of teaching digital arts in a digital setting.",Computer Science,45.00%,Education,30.00%,Visual Arts and Performing Arts,25.00%
THE ROLE OF AI IN MANAGING PERFORMING ARTS INSTITUTIONS,"Artificial intelligence (AI) within the performance arts facilities is transforming how the arts management, administration, and community participation has always been. Performing arts troupes would previously count on human intuition and collaboration to get things occurring but currently, they are applying data-driven approaches increasingly to get things feasible and artistic things improved. This study examines the numerous aspects that AI can be used to enhance the management of performing arts organisations, with specific focus on how AI can be used to manage such activities as finances, involvement of people and the creation of new performances. It will also investigate how the use of AI tools like machine learning, predictive analytics, and natural language processing are enhancing the capacity of people to make better decisions, simplify resource use, and provide each audience with a personalized experience. The article focuses on the effective uses of AI in the world in the field of theatre, music and dance teachings through the global case studies. It also discusses similar issues such as lack of money, poor infrastructure, and employees that don't want to adjust with the times. The study also reveals how AI can alter the organization of institutions, transform the work of employees and enhance the management of talents through digital teamwork and performance data. Even though there is clear success, the study says that social, cultural and policy issues are still very important when it comes to AI in the arts.",Arts and Humanities (miscellaneous),45.00%,Management Information Systems,35.00%,Visual Arts and Performing Arts,20.00%
DATA-DRIVEN INSIGHTS FOR PERFORMING ARTS TEACHING,"The convergence of artificial intelligence and education of performing arts has introduced possibilities of improving creativity, assessment and pedagogy. This work is a proposal to develop a Data-Driven Pedagogical Model of Performing Arts (DDPMPA) that combines multimodal analytics such as motion, audio, emotional and textual data to create holistic information about the performance of learners. The framework uses the technique of feature extraction, fusion, and machine learning algorithms to measure both expressive and technical aspects of performance on an adaptive feedback provided to instructors and learners. The experimental findings in the fields of music and dance as well as theatre indicate the presence of quantifiable changes in the learner engagement, expressiveness, and reflective self-regulation. The system does not only make the evaluation more transparent and precise but also retains the subjective and affective nature of artistic learning. The study reveals the prospects of the data-driven feedback mechanism to supplement conventional training, allowing the creation of the ecosystem that is co-creative, where AI serves as a complement, not as a substitute, to human intuition. The study extends the developing sphere of AI-based performing arts education, encouraging the customized, evidence-based, and ethically-based learning settings.",Computer Science,45.00%,Education,35.00%,Visual Arts and Performing Arts,20.00%
SPECIAL ISSUE ON AI-DRIVEN CREATIVITY AND INTELLIGENT PRACTICES IN VISUAL ARTS,"It is with great pleasure that we present this special issue of ShodhKosh: Journal of Visual and Performing Arts titled “AI-Driven Creativity and Intelligent Practices in Visual Arts.” As artificial intelligence and intelligent design systems increasingly shape contemporary artistic practice, visual arts are evolving into data-driven, interactive, and computational processes. The contributions in this issue examine how AI influences artistic creation, pedagogy, curation, and creative management. Reflecting interdisciplinary perspectives from visual arts, computational intelligence, emotion analytics, and education technology, this special issue documents and critically evaluates emerging paradigms, offering scholars and practitioners an academic platform to explore innovation in creative practice.
Issue Editor:
Dr. Krishna Sankar KusumaProfessor, AJK Mass Communication Research Centre, Jamia Millia Islamia, New Dehli, IndiaEmail: kusumakk@gmail.com
Dr. Naresh KshetriAssistant Professor (Cybersecurity), Department of Math, CS & IT, Lindenwood University, USAEmail: kshetrinaresh@gmail.com
Dr. Gabriel KabandaAdjunct Professor of Machine Learning, Woxsen University, Hyderabad, IndiaEmail: gabrielkabanda@gmail.comStephen Olatunde OlabiyisiProfessor, Department of Computer Science Ladoke Akintola University of Technology Ogbomoso, NigeriaEmail: tundeolabiyisi@gmail.com
Dr. Dipti ChauhanProfessor & Head in the Department of Artificial Intelligence & Data Science, Prestige Institute of Engineering Management & Research, Indore, M.P., IndiaEmail: diptichauhan09@gmail.com",Visual Arts and Performing Arts,70.00%,Artificial Intelligence,20.00%,Computer Science,10.00%
