Title,Abstract
Cardiovascular risk and chronic kidney disease: strategies for cardiac and renal protection. Interdisciplinary consensus,"The consensus was developed by experts from the Russian Scientific Medical Society of Internal Medicine, the Russian Society for the Prevention of Noncommunicable Diseases, the National Nephrology Association, the Professional Nephrology Association, the Russian Society of Cardiology, the Russian Medical Society for Arterial Hypertension, the Heart Failure Society, the National Atherosclerosis Society, the Russian Endocrinology Association, and the Russian Gerontology and Geriatrics Association.The expert consensus opinion was compiled on the basis of the relevant sections of national and international clinical guidelines on chronic kidney disease, prevention and treatment of atherosclerosis, hypertension, diabetes and heart failure."
Geriatrics education and health professions today: responding to critical need,"The connection between health and old age is complex and often influenced by myths and misconceptions. It is argued that old age is equivalent to a time of illness. Medicine itself has endorsed this idea, to such an extent that gerontology has even been defined as the science that traces the downward trends, thus concentrating its attention on the decline of physiological parameters and thereby reinforcing the assumption of “decline and loss” as elements proper to normal aging.1 In order to react to this idea, today there is a tendency to excessively accentuate a model of aging in good health or of successful aging, and from this originates a prejudice towards the disabled elderly, which, in the end, is often shared by the aged people themselves. Actually, health during old age is a complex amalgam of both biology and personal biography. Therefore, one of the characteristics of the aging population is its substantial heterogeneity, which makes it difficult to formulate a schematization. All this deeply influences not only the approach to the care of elderly patients, but also the investments and research priorities, the nature and content of geriatrics and gerontology, the perceptions and attitudes of public opinion towards aging. The social consideration of the aged person also reflects on the idea a healthcare professional has of his/her own profession, something that easily leads to a routine approach, deprived of initiative, changes and, above all, incapable of making it possible for elderly to express their own potential. The geriatrics healthcare professional, in turn, is generally seen within the social imagination as a figure of little importance, as if he/she had chosen a fallback job, which is scarcely considered. Therefore, it is necessary to intervene even at the level of social attitudes towards the aged people, in order to foster a cultural change, which is able to have an effect also on the training of those who are professionally engaged within the geriatric field. About it, recently stressed that progress in including geriatric training within curricula across the health professions continues to lag behind need as a ExpErt OpiniOn Open Access Pontifical Catholic University of rio Grande do Sul Institute of Geriatrics and Gerontology Biomedical Gerontology Graduate Program"
"An update on cognitive frailty: Its definition, impact, associated factors and underlying mechanisms, and interventions","Since the concept and operational definition of “cognitive frailty” (simultaneous presence of physical frailty and cognitive impairment without concurrent dementia) were proposed by the International Academy of Nutrition and Aging and the International Association of Gerontology and Geriatrics, cognitive frailty has been widely investigated. This review is intended to address the operational definition of cognitive frailty, its consequences, contributing factors and underlying mechanisms, as well as interventions for cognitive frailty. Although the definitions and assessments of cognitive frailty vary among researchers, older adults with both physical frailty and cognitive impairment are shown to be at higher risk of adverse health outcomes, including death, disability, hospitalization and incident dementia, than those with either condition alone. While the underlying mechanisms of cognitive frailty are still unclear, factors shown to be associated with cognitive frailty include sociodemographic factors, social status, nutritional status, geriatric syndrome, physical and cognitive activities, functional status, comorbidities, medication use, gut‐derived metabolites and structural changes in the brain. Accumulating evidence indicates the need for comprehensive geriatric assessment that helps identify the possible causes of cognitive frailty and develop a multimodal individualized intervention to prevent adverse health outcomes for older adults with cognitive frailty. Further studies are required to clarify the mechanisms through which physical frailty and cognitive impairment interact to accelerate adverse health outcomes, particularly cognitive outcomes. In addition, for older adults with cognitive frailty, an effective flow diagram from primary screening through comprehensive assessment to multidimensional intervention needs to be developed for future implementation in both clinical and community settings. Geriatr Gerontol Int 2022; 22: 99–109."
"Nutritional interventions to improve muscle mass, muscle strength, and physical performance in older people: an umbrella review of systematic reviews and meta-analyses.","CONTEXT
Sarcopenia is a progressive and generalized skeletal muscle disorder associated with an increased risk of adverse outcomes such as falls, disability, and death. The Belgian Society of Gerontology and Geriatrics has developed evidence-based guidelines for the prevention and treatment of sarcopenia. This umbrella review presents the results of the Working Group on Nutritional Interventions.


OBJECTIVE
The aim of this umbrella review was to provide an evidence-based overview of nutritional interventions targeting sarcopenia or at least 1 of the 3 sarcopenia criteria (ie, muscle mass, muscle strength, or physical performance) in persons aged ≥ 65 years.


DATA SOURCES
Following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines, the PubMed and Web of Science databases were searched for systematic reviews and meta-analyses reporting the effect of nutritional supplementation on sarcopenia or muscle mass, strength, or physical performance.


DATA EXTRACTION
Two authors extracted data on the key characteristics of the reviews, including participants, treatment, and outcomes. Methodological quality of the reviews was assessed using the product A Measurement Tool to Assess Systematic Reviews. Three authors synthesized the extracted data and generated recommendations on the basis of an overall synthesis of the effects of each intervention. Quality of evidence was rated with the Grading of Recommendations Assessment, Development and Evaluation approach.


DATA ANALYSIS
A total of 15 systematic reviews were included. The following supplements were examined: proteins, essential amino acids, leucine, β-hydroxy-β-methylbutyrate, creatine, and multinutrient supplementation (with or without physical exercise). Because of both the low amount and the low to moderate quality of the reviews, the level of evidence supporting most recommendations was low to moderate.


CONCLUSIONS
Best evidence is available to recommend leucine, because it has a significant effect on muscle mass in elderly people with sarcopenia. Protein supplementation on top of resistance training is recommended to increase muscle mass and strength, in particular for obese persons and for ≥ 24 weeks. Effects on sarcopenia as a construct were not reported in the included reviews."
Gerontology and Geriatric Medicine Welcome Editorial,"reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access page Overview Gerontology and Geriatric Medicine is an interdisci-plinary, open access journal that focuses on health services and public health research related to aging. The journal addresses a wide variety of topics related to health services research in gerontology and geriatrics. Gerontology and Geriatric Medicine reflects the global importance and interest in this subject area and its particular relevance to a country like United States that is experiencing an exponential growth in older population. The overarching goal of this journal is to provide a global medium for new and exciting research pertinent to the areas of gerontology and geriatrics. The journal offers an excellent opportunity for publishing peer-reviewed research that makes meaningful contributions to the various fields of aging, including health economics , health services research, health outcomes, public health, equity, social science, epidemiology, and nursing. In addition to original research articles and review articles, the journal welcomes case reports and letters to the editor that are relevant to the field of geriatrics and gerontology. Open access journal is an interesting alternative model to the subscription model of journal publication. In the traditional subscription system, full access to the journal is granted either via annual subscription or in the form of fee per article. On the contrary, open access does not require a fee for accessing the content of each article , and thus is available freely. Open access can be of two types. The first type is where after a certain period, the publications from the traditional subscription journals are freely available. The second type of open access is where upon publication, the contents are freely accessible immediately. Gerontology and Geriatric Medicine emphasizes novelty and new directions and encourages contributions with diverse theoretical and methodological approaches. The journal publishes peer-reviewed articles that are germane to enhancing issues related to physical and mental well-being of elderly population. We are requesting appropriate articles for consideration (mc.manuscriptcentral.com/ggm). Hope you will join us as we begin to explore the new frontiers of aging research. Sincerely,"
Detection of neurophysiological markers of cognitive reserve: an EEG study,"Background and objectives Cognitive reserve (CR) is a property of the brain that allows for better–than–expected cognitive performance relative to the degree of brain change over the course of life. However, neurophysiological markers of CR remain under-investigated. Electroencephalography (EEG) features may function as suitable neurophysiological markers of CR. To assess this, we investigated whether the dorsal attention network (DAN) and ventral attention network (VAN) activities, as measured during resting–state EEG, moderate the relationship between hippocampal volume and episodic memory. Methods Participants were recruited as part of the National Center for Geriatrics and Gerontology–Study of Geriatric Syndromes. Hippocampal volume was determined using magnetic MRI, and episodic memory was measured using word lists. After testing the effect of hippocampal volume on memory performance using multiple regression analysis, we evaluated the interactions between hippocampal volume and DAN and VAN network activities. We further used the Johnson–Neyman technique to quantify the moderating effects of DAN and VAN network activities on the relationship between hippocampal volume and word list memory, as well as to identify specific ranges of DAN and VAN network activity with significant hippocampal–memory association. Results A total of 449 participants were included in this study. Our analysis revealed significant moderation of DAN with a slope of β = −0.00012 (95% CI: −0.00024; −0.00001, p = 0.040), and VAN with a slope of β = 0.00014 (95% CI: 0.00001; 0.00026, p = 0.031). Further, we found that a larger hippocampal volume was associated with improved memory performance, and that this association became stronger as the DAN activity decreased until a limit of DAN activity of 944.9, after which the hippocampal volume was no longer significantly related to word-list memory performance. For the VAN, we found that a higher hippocampal volume was more strongly associated with better memory performance when VAN activity was higher. However, when VAN activity extended beyond −914.6, the hippocampal volume was no longer significantly associated with word-list memory. Discussion Our results suggest that attentional networks help to maintain memory performance in the face of age-related structural decline, meeting the criteria for the neural implementation of cognitive reserve."
Bibliometric analysis of research on sarcopenic obesity: a review of scientific literature,"Considering the current prevalence in obesity and sarcopenia globally, this study aimed to summarize the development of sarcopenic obesity research to establish the topic's past, present, and future research direction using a bibliometric analysis. A comprehensive search for publications on sarcopenia and obesity was conducted in the Web of Science (WoS) database until the 31st of December 2023. We performed a detailed descriptive analysis, considering metrics like sources, authors, and documents, along with analyzing conceptual and social structures to map sarcopenic obesity research. Between 1993 and 2023, there were 4978 publications on sarcopenic obesity, representing 22.6% of the whole sarcopenia research (22070). Most published articles were originals (74.6%), and one of the highest increments in the fields was seen after 2010. The most significant contribution in this research area falls under the categories of Nutrition & Dietetics, Gerontology, and Geriatrics & Gerontology. Among regions, scientific production was located in 93 different countries. The United States, China, and South Korea had the highest contributions. The most relevant keywords were sarcopenia, obesity, and body composition. Research on sarcopenic obesity primarily focuses on epidemiology and identifying risk factors and outcome predictors. Yet, there is a shortage of research addressing prevention, early detection, and treatments to enhance the health of individuals with sarcopenia."
Impact of cognitive frailty on daily activities in older persons,"ObjectivesTo identify the relationships between physical and/or cognitive frailty and instrumental activities of daily living (IADL) functioning in community living older persons.DesignCross sectional observation study.SettingData extracted from the 2011–2013 of the National Center for Geriatrics and Gerontology–Study of Geriatric Syndromes (NCGG-SGS) database.ParticipantsA total of 8,864 older adults aged ≥ 65 years who were enrolled in the NCGG-SGS.MeasurementsWe characterized physical frailty as limitations in three or more of the following five domains: slow walking speed, muscle weakness, exhaustion, low activity and weight loss. To screen for cognitive impairment, we used the National Center for Geriatrics and Gerontology-Functional Assessment Tool (NCGG-FAT) which included tests of word list memory, attention and executive function (tablet version of the Trail Making Test, part A and B), and processing speed (tablet version of the Digit Symbol Substitution Test). Two or more cognitive impairments indicated by an ageadjusted score of at least 1.5 standard deviations below the reference threshold was characterized as cognitive impairment. Each participant reported on their IADL status (use of public transportation, shopping, management of finances, and housekeeping) and several potential confounders such as demographic characteristics.ResultsThe overall prevalence of physical frailty, cognitive impairment, and cognitive frailty, i.e. co-occurrence of frailty and cognitive impairment, was 7.2%, 5.2%, and 1.2%, respectively. We found significant relationships between IADL limitations and physical frailty (Odds Ratio (OR) 1.24, 95% confidence interval (95% CI) 1.01 to 1.52), cognitive impairment (OR 1.71, 95% CI 1.39 to 2.11), and cognitive frailty (OR 2.63, 95% CI 1.74 to 3.97).ConclusionUsing the NCGG-SGS frailty criteria, we found more participants with physical frailty than with cognitive frailty. The individuals with cognitive frailty had the highest risks of IADL limitations. Future investigation is necessary to determine whether this population is at increased risk for incidence of disability or mortality."
Independent Association between Cognitive Frailty and Cardio-Ankle Vascular Index in Community-Dwelling Older Adults,"Abstract Introduction: Although arterial stiffness has been suggested to be associated with poor physical function and mild cognitive impairment (MCI), its association with cognitive frailty (CF), a comorbidity of both, is unclear. This study aims to examine the association between CF and arterial stiffness in community-dwelling older adults. Methods: A cross-sectional analysis of 511 community-dwelling older adults aged 65 years or older (mean age 73.6 ± 6.2 years, 63.6% women), who participated in a community cohort study (Tarumizu Study, 2019), was conducted. Poor physical function was defined as either slowness (walking speed <1.0 m/s) or weakness (grip strength <28 kg for men and <18 kg for women). MCI was defined by the National Center for Geriatrics and Gerontology Functional Assessment Tool as a decline of at least 1.5 standard deviation from age- and education-adjusted baseline values in any one of the four cognitive domains (memory, attention, executive, and information processing). CF was defined as the combination of poor physical function and MCI. Arterial stiffness was measured using the Cardio-Ankle Vascular Index (CAVI), and the average of the left and right sides (mean CAVI) was used. Results: Multinomial logistic regression analysis adjusted for covariates was performed with the four groups of robust, poor physical function, MCI, and CF as dependent variables and mean CAVI as an independent variable. Using the robust group as reference, the poor physical function and MCI groups showed no significant relationship with the mean CAVI. The mean CAVI was significantly higher in the CF group (odds ratio 1.62, 95% confidence interval: 1.14–2.29). Conclusion: A significant association was found between CF and the higher CAVI (progression of arterial stiffness). Careful observation and control of CAVI, which is also an indicator of arterial stiffness, may be a potential target for preventive interventions for CF."
Optimizing older patient care in emergency departments: a comprehensive survey of current practices and challenges in Northern Italy,"Background The progressive aging of the population and the increasing complexity of health issues contribute to a growing number of older individuals seeking emergency care. This study aims to assess the state of the art of care provided to older people in the Emergency Departments of Lombardy, the most populous region in Italy, counting over 2 million people aged 65 years and older. Methods An online cross-sectional survey was developed and disseminated among emergency medicine physicians and physicians affiliated to the Lombardy section of the Italian Society of Geriatrics and Gerontology (SIGG), during June and July 2023. The questionnaire covered hospital profiles, geriatric consultation practices, risk assessment tools, discharge processes and perspectives on geriatric emergency care. Results In this mixed method research, 219 structured interviews were collected. The majority of physicians were employed in hospitals, with 54.7% being geriatricians. Critical gaps in older patient’s care were identified, including the absence of dedicated care pathways, insufficient awareness of screening tools, and a need for enhanced professional training. Conclusions Tailored protocols and geriatric educational programs are crucial for improving the quality of emergency care provided to older individuals. These measures might also help relieve the burden on the Emergency Departments, thereby potentially enhancing overall efficiency and ensuring better outcomes."
Comprehensive geriatric assessment of older patients with renal disease: a cross-sectional survey,"Multidimensional health function impairments are common in older patients with chronic kidney disease (CKD). The purpose of this study was to explore whether the risk or severity of geriatric syndrome increased with a decline in renal function. This survey was conducted for CKD patients aged  ≥ 60 years and hospitalized at West China Hospital of Sichuan University (Center of Gerontology and Geriatrics, Nephrology, and Endocrinology) and Chengdu Kangfu Kidney Disease Hospital from September 01, 2013 to June 30, 2014. Patients underwent multidimensional individualized assessments by trained doctors. Logistic regression analysis found that the risk of assisted walking (P = 0.001) and urinary incontinence (P = 0.039) increased with a decline in renal function. Regression analysis revealed that the scores of activities of daily living (P = 0.024), nutritional status (P = 0.000), total social support (P = 0.014), and objective support (P = 0.000) decreased with a decline in renal function."
Bibliometric Insights into Research on Frailty and Falls,"Background Global population aging has sparked research into frailty and falls given their impact on older adults. This study provides a bibliometric analysis of frailty and fall literature to identify publication trends, leading contributors, impactful works, and conceptual themes. Methods Frailty and fall publications were retrieved from Scopus and Web of Science databases without date restrictions. Data was analyzed using ScientoPy, and VOSviewer to generate statistics, visualizations, and maps based on temporality, productive countries, institutions, citations, subject categories, and keyword occurrences. Results After pre-processing, 345 publications remained (84.6% Web of Science, 15.4% Scopus). The literature has grown steadily since 1990, led by the United States, China, and Japan. Prolific institutions were identified, including Pittsburgh University. Highly cited impactful studies were published across journals like the Journal of the American Geriatrics Society. Geriatrics/gerontology was the dominant subject category. Keyword co-occurrence analysis revealed clusters focusing on geriatric physical health, cardiovascular health, cognition, interventions, and mortality. Conclusions This bibliometric analysis synthesizes a comprehensive overview of frailty and fall research, identifying rising publication and citation trends, leading global contributors, impactful studies, and thematic focuses. The findings can inform resource allocation, international collaboration, impactful evidence utilization, and future research planning to advance frailty science and clinical care for older populations. Ongoing investigation is warranted into frailty mechanisms, assessment, management, and multidomain interventions."
Mortality Risks and Causes of Death by Dementia Types in a Japanese Cohort with Dementia: NCGG-STORIES,"Background: Prognosis-related information regarding dementia needs to be updated, as changes in medical and long-term care environments for patients with dementia in recent decades may be improving the prognosis of the disease. Objective: We aimed to investigate the mortality, cause of death, and prognostic factors by types of dementia in a Japanese clinic-based cohort. Methods: The National Center for Geriatrics and Gerontology-Life Stories of People with Dementia consists of clinical records and prognostic data of patients who visited the Memory Clinic in Japan. Patients who attended the clinic between July 2010 and September 2018, or their close relatives, were asked about death information via a postal survey. A cohort of 3,229 patients (mean age, 76.9; female, 1,953) was classified into six groups: normal cognition (NC), mild cognitive impairment (MCI), Alzheimer’s disease (AD), vascular dementia, dementia with Lewy bodies (DLB), and frontotemporal lobar degeneration. A Cox proportional hazards model was employed to compare the mortality of each type of dementia, MCI, and NC. Results: Patients with all types of dementia and MCI had higher mortality rates than those with NC (hazard risks: 2.61–5.20). The most common cause of death was pneumonia, followed by cancer. In the MCI, AD, and DLB groups, older age, male sex, and low cognitive function were common prognostic factors but not presence of apolipoprotein E ɛ4 allele. Conclusion: Our findings suggest important differences in the mortality risk and cause of death among patients with dementia, which will be useful in advanced care planning and policymaking."
Reversible predictors of reversion from mild cognitive impairment to normal cognition: a 4-year longitudinal study,"Although previous studies have revealed many factors related to mild cognitive impairment (MCI) reversion, information about reversible factors related MCI reversion is limited, impeding the development of intervention strategies. The aim of the present study was to examine whether reversible factors such as lifestyle activities are associated with MCI reversion in elderly individuals using the National Center for Geriatrics and Gerontology—Study of Geriatric Syndromes database. A total of 396 community-living older adults (age ≥ 65 years) participated in the study. They were classified as reverters or non-reverters from mild cognitive impairment to normal cognition. We assessed lifestyle activities, potential confounding factors of cognitive decline, and reversion of mild cognitive impairment. In a completed data set of 396 participants, 202 participants (51.0%) reverted from MCI to normal cognition. The reversion rate in participants for whom we imputed data was 34.3%. In the imputed group, a logistic regression model showed that the odds ratios (ORs) for reversion were significantly higher in participants who drove a car (OR 1.50, 95% confidence interval (CI) 1.41–1.60), used a map to travel to unfamiliar places (OR 1.12, 95% CI 1.06–1.18), read books or newspapers (OR 1.54, 95% CI 1.37–1.73), took cultural classes (OR 1.10, 95% CI 1.04–1.15), attended meetings in the community (OR 1.22, 95% CI 1.16–1.28), participated in hobbies or sports activities (OR 1.09, 95% CI 1.03–1.16), and engaged in fieldwork or gardening (OR 1.14, 95% CI 1.08–1.21). The imputed sample showed that non-reverters were more likely to discontinue fieldwork or gardening (11.0% vs. 6.1%) than reverters during the follow-up period. Specific lifestyle activities may play important roles in MCI reversion in older adults. The longitudinal data indicate that it is reasonable to recommend that individuals continue to engage in fieldwork or gardening to increase their chance of recovery from MCI."
Role of Microbes in the Development of Alzheimer’s Disease: State of the Art – An International Symposium Presented at the 2017 IAGG Congress in San Francisco,"This article reviews research results and ideas presented at a special symposium at the International Association of Gerontology and Geriatrics (IAGG) Congress held in July 2017 in San Francisco. Five researchers presented their results related to infection and Alzheimer’s disease (AD). Prof. Itzhaki presented her work on the role of viruses, specifically HSV-1, in the pathogenesis of AD. She maintains that although it is true that most people harbor HSV-1 infection, either latent or active, nonetheless aspects of herpes infection can play a role in the pathogenesis of AD, based on extensive experimental evidence from AD brains and infected cell cultures. Dr. Miklossy presented research on the high prevalence of bacterial infections that correlate with AD, specifically spirochete infections, which have been known for a century to be a significant cause of dementia (e.g., in syphilis). She demonstrated how spirochetes drive senile plaque formation, which are in fact biofilms. Prof. Balin then described the involvement of brain tissue infection by the Chlamydia pneumoniae bacterium, with its potential to use the innate immune system in its spread, and its initiation of tissue damage characteristic of AD. Prof. Fülöp described the role of AD-associated amyloid beta (Aβ) peptide as an antibacterial, antifungal and antiviral innate immune effector produced in reaction to microorganisms that attack the brain. Prof. Barron put forward the novel hypothesis that, according to her experiments, there is strong sequence-specific binding between the AD-associated Aβ and another ubiquitous and important human innate immune effector, the cathelicidin peptide LL-37. Given this binding, LL-37 expression in the brain will decrease Aβ deposition via formation of non-toxic, soluble Aβ/LL-37 complexes. Therefore, a chronic underexpression of LL-37 could be the factor that simultaneously permits chronic infections in brain tissue and allows for pathological accumulation of Aβ. This first-of-its-kind symposium opened the way for a paradigm shift in studying the pathogenesis of AD, from the “amyloid cascade hypothesis,” which so far has been quite unsuccessful, to a new “infection hypothesis,” or perhaps more broadly, “innate immune system dysregulation hypothesis,” which may well permit and lead to the discovery of new treatments for AD patients."
"Independence at Home: After 10 years of evidence, it's time for a permanent Medicare program","Department of Family Medicine, Donald and Barbara Zucker School of Medicine at Hofstra/Northwell, Manhasset, New York, USA Division of Geriatrics, Virginia Commonwealth University, Richmond, Virginia, USA Geriatrics and Senior Services, Medstar Health, Baltimore, Maryland, USA Division of Geriatric Medicine and Gerontology, Center for Transformative Geriatric Research, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA Division of Geriatrics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA Leonard Davis Institute of Health Economics, University of Pennsylvania, Philadelphia, Pennsylvania, USA"
"""Don't talk to them about goals of care"": Understanding disparities in advance care planning.","BACKGROUND
Structurally marginalized groups experience disproportionately low rates of advance care planning (ACP). To improve equitable patient-centered end-of-life care, we examine barriers and facilitators to ACP among clinicians as they are central participants in these discussions.


METHODS
In this national study, we conducted semi-structured interviews with purposively selected clinicians from six diverse health systems between August 2018 and June 2019. Thematic analysis yielded themes characterizing clinicians' perceptions of barriers and facilitators to ACP among patients, and patient-centered ways of overcoming them.


RESULTS
Among 74 participants, 49 (66.2%) were physicians, 16.2% were nurses, and 13.5% were social workers. Most worked in primary care (35.1%), geriatrics (21.1%), and palliative care (19.3%) settings. Clinicians most frequently expressed difficulty discussing ACP with certain racial and ethnic groups (African American, Hispanic, Asian, and Native American) (31.1%), non-native English speakers (24.3%), and those with certain religious beliefs (Catholic, Orthodox Jewish, and Muslim) (13.5%). Clinicians were more likely to attribute barriers to ACP completion to patients (62.2%), than to clinicians (35.1%) or health systems (37.8%). Three themes characterized clinicians' difficulty approaching ACP (Preconceived views of patients' preferences; narrow definitions of successful ACP; lacking institutional resources), while the final theme illustrated facilitators to ACP (Acknowledging bias and rejecting stereotypes; mission-driven focus on ACP; acceptance of all preferences).


CONCLUSIONS
Most clinicians avoided ACP with certain racial and ethnic groups, those with limited English fluency, and persons with certain religious beliefs. Our findings provide evidence to support development of clinician-level and institutional-level interventions and to reduce disparities in ACP."
The association between social activity and physical frailty among community-dwelling older adults in Japan,"Background Physical frailty is associated with social activity. However, the relationship between physical frailty and levels of engagement with other people during social activities remains unclear. Thus, we aimed to clarify the relationship between physical frailty and social activity using a taxonomy of activity levels among community-dwelling older adults in Japan. Methods This cross-sectional observational study analyzed data from 12,788 older adults (7001 women, mean age: 73.8 years, standard deviation = 5.9; range: 60–96 years) from the National Center for Geriatrics and Gerontology-Study of Geriatric Syndromes. Physical frailty was assessed using the following components: slow walking speed, muscle weakness, exhaustion, low activity, and weight loss. We asked participants about seven social activities that included social participation and engagement and examined their relationship to physical frailty. Results Physical frailty was independently associated with all social activities. Exercise circle activity, which includes a level of social participation, was strongly associated with physical pre-frailty and physical frailty. Results of sub-analyses indicated that the level of social engagement was independently associated with physical frailty in the older group (over 75 years) but not in the younger group (60–74 years). Conclusions Our results indicate that the strength of the association between social activity and physical frailty differs by the level of social participation. Given the increasingly high prevalence of physical frailty in Japan and its strong association with numerous adverse health outcomes, the relationship between physical frailty and levels of social participation may assist in developing measures to prevent the incidence and progression of physical frailty."
The association between social activity and physical frailty among community-dwelling older adults in Japan,"Background Physical frailty is associated with social activity. However, the relationship between physical frailty and levels of engagement with other people during social activities remains unclear. Thus, we aimed to clarify the relationship between physical frailty and social activity using a taxonomy of activity levels among community-dwelling older adults in Japan. Methods This cross-sectional observational study analyzed data from 12,788 older adults (7001 women, mean age: 73.8 years, standard deviation = 5.9; range: 60–96 years) from the National Center for Geriatrics and Gerontology-Study of Geriatric Syndromes. Physical frailty was assessed using the following components: slow walking speed, muscle weakness, exhaustion, low activity, and weight loss. We asked participants about seven social activities that included social participation and engagement and examined their relationship to physical frailty. Results Physical frailty was independently associated with all social activities. Exercise circle activity, which includes a level of social participation, was strongly associated with physical pre-frailty and physical frailty. Results of sub-analyses indicated that the level of social engagement was independently associated with physical frailty in the older group (over 75 years) but not in the younger group (60–74 years). Conclusions Our results indicate that the strength of the association between social activity and physical frailty differs by the level of social participation. Given the increasingly high prevalence of physical frailty in Japan and its strong association with numerous adverse health outcomes, the relationship between physical frailty and levels of social participation may assist in developing measures to prevent the incidence and progression of physical frailty."
Publication Trends for Sarcopenia in the World: A 20-Year Bibliometric Analysis,"Background Sarcopenia, an age-related degenerative disease, seriously affects the health and quality of life of the elder. The research of sarcopenia has changed dramatically around the world. This article aims to analyze global trends in this field over the past 20 years. Methods “Sarcopenia” was used as the search term to retrieve relevant publications from the WOS and PubMed databases. Co-occurrence, literature coupling, co-citation, and co-author analysis were performed by using the software VOS viewer. We analyzed the trends of sarcopenia research over the last 20 years from different aspects, such as the number of papers, total citations, average citations per item, h-index, research area, article types, institutions, country, journals, and funding. Results We retrieved 13,421 research articles published on sarcopenia between 2001 and 2020. The results showed that the USA made the highest contributions to this field. Geriatrics gerontology is the most study classification of sarcopenia. Basic research on sarcopenia in geriatric gerontology accounts for approximately 16.496% of global publications. The Osteoporosis International published the largest number of sarcopenia-related studies. The United States Department of Health Human Services was the leading funding organization, which sponsored 1,604 articles. Conclusion Global sarcopenia research increased rapidly from 2001 to 2020, especially recently. The research leader of sarcopenia is the USA. In the future, the study of sarcopenia will continue to focus on aging, nutrition, and exercise and will delve deeper into molecular mechanisms. On the other hand, revealing the link between sarcopenia and other diseases will be the next research hotspot."
Comorbidities as Risk Factors for Severe Disease in Hospitalized Elderly COVID-19 Patients by Different Age-Groups in Japan,"Introduction: Old age is an independent risk factor (RF) for severe COVID-19; evidence for clinico-epidemiological characteristics among elderly COVID-19 patients is scarce. We aimed to analyze clinical and epidemiological characteristics and comorbidities associated with COVID-19 inpatients in age-stratified populations of an elderly COVID-19 cohort. Methods: We conducted a retrospective cohort study, using nationwide registry data of COVID-19 patients hospitalized before October 31, 2020 (major information entered in the registry as of December 28, 2020). Participants were divided by age according to the Japan Geriatrics Society and the Japan Gerontological Society: pre-old (65–74 years), old (75–89 years), and super-old (≥90 years). Multivariable logistic regression (MLR) analyses were conducted to identify stratified risk and relationships with comorbidities associated with worse outcomes in different age-groups of elderly patients. Demographics and supportive care were evaluated by category. Results: Data of 4,701 patients from 444 hospitals were included. Most patients (79.3%) had at least one comorbidity; the proportion of patients with hypertension was high in all categories. The proportion of patients with dementia, cardiovascular disease, and cerebrovascular disease increased with age. The percentage of patients who underwent invasive mechanical ventilation/extracorporeal membrane oxygenation was lower in the super-old group. In total, 11.5% of patients died (5.3%, pre-old; 15.2%, old; and 22.4%, super-old). MLR showed that the risk of critical illness differed among age-groups. Male sex was a significant RF in all ages. Collagen disease, moderate to severe renal disorder, and dialysis were significant RFs in older patients, while hematological malignancies and metastatic tumors were more important RFs for severe disease in relatively younger patients. Most of the RFs for critical illnesses were associated with death. Conclusion: Differences in the epidemiological and clinical characteristics among the different age-groups were found."
Frailty and Biological Age,"A reliable model of biological age is instrumental in the field of geriatrics and gerontology. This model should account for the heterogeneity and plasticity of aging and also accurately predict aging-related adverse outcomes. Epigenetic age models are based on DNA methylation levels at selected genomic sites and can be significant predictors of mortality and healthy/unhealthy aging. However, the biological function of DNA methylation at selected sites is yet to be determined. Frailty is a syndrome resulting from decreased physiological reserves and resilience. The frailty index is a probability-based extension of the concept of frailty. Defined as the proportion of health deficits, the frailty index quantifies the progression of unhealthy aging. The frailty index is currently the best predictor of mortality. It is associated with various biological factors and provides insight into the biological processes of aging. Investigation of the multi-omics factors associated with the frailty index will provide further insight."
